MONTH;JOBTYPE;JOBFILE;CUSTOMER;MKT;REVENUE;COST;PROFIT;MARGIN;NEWCUSTOMER
01/01/2025;EXPORT AF;MOCK-0101202501250001;CV. BINTANG FURNITURE;BUDIMAN;1311683.67;872064.69;439618.98;33.5156;REGULAR
01/01/2025;EXPORT AF;MOCK-0101202501250002;PT. JAYA LOGISTIK;FERNANDO;25409890.3;21801849.49;3608040.81;14.1994;REGULAR
01/01/2025;EXPORT AF;MOCK-0101202501250003;PT. JAYA LOGISTIK;FERNANDO;1193674.12;337528.79;856145.33;71.7235;REGULAR
01/01/2025;MDP;MOCK-0101202501250001;PT. CAHAYA NIAGA;SANTOSO;116998230.07;106612584.12;10385645.95;8.8768;REGULAR
01/01/2025;MDP;MOCK-0101202501250002;PT. NUSANTARA PERKASA;SANTOSO;18809096.47;17130589.39;1678507.08;8.9239;REGULAR
01/01/2025;MDP;MOCK-0101202501250003;PT. AGUNG LOGISTIK;SANTOSO;19278117.12;16944476.59;2333640.53;12.1051;REGULAR
01/01/2025;MDP;MOCK-0101202501250004;PT. ASRI LOGISTIK;SANTOSO;61823034.15;57992392.78;3830641.37;6.1961;REGULAR
01/01/2025;MDP;MOCK-0101202501250005;PT. AGUNG LOGISTIK;SANTOSO;98788549.49;91276100.91;7512448.58;7.6046;REGULAR
01/01/2025;MDP;MOCK-0101202501250006;PT. ASRI LOGISTIK;SANTOSO;13817261.29;12659976.38;1157284.91;8.3756;REGULAR
01/01/2025;MDP;MOCK-0101202501250007;PT. CAHAYA NIAGA;SANTOSO;25040646.87;22399158.23;2641488.64;10.5488;REGULAR
01/01/2025;MDP;MOCK-0101202501250008;PT. AGUNG LOGISTIK;SANTOSO;62207555.9;57465876.76;4741679.14;7.6224;REGULAR
01/01/2025;MDP;MOCK-0101202501250010;PT. BERKAH FURNITURE;FERNANDO;1928125.13;1002732.26;925392.87;47.9944;REGULAR
01/01/2025;MDP;MOCK-0101202501250011;PT. ASRI LOGISTIK;SANTOSO;15428226.92;13391806.85;2036420.07;13.1993;REGULAR
01/01/2025;EXPORT FCL;MOCK-0101202501250002;CV. MITRA BUANA;BUDIMAN;33387286.26;30489616.42;2897669.84;8.679;REGULAR
01/01/2025;MDP;MOCK-0101202501250001;PT. PRIMA PERSADA;TEJAKUSUMA;255978.32;155429.77;100548.55;39.2801;REGULAR
01/01/2025;MDP;MOCK-0101202501250002;PT. GLOBAL FURNITURE;FERNANDO;523916.96;459141.97;64774.99;12.3636;REGULAR
01/01/2025;MDP;MOCK-0101202501250003;CV. SEJATI KONSULTAN;HADI;3904520.79;3126948.88;777571.91;19.9147;REGULAR
01/01/2025;MDP;MOCK-0101202501250004;CV. HARMONI PERKASA;HADI;1003267.13;610159.94;393107.19;39.1827;REGULAR
01/01/2025;MDP;MOCK-0101202501250005;PT. PRIMA PERSADA;TEJAKUSUMA;282328.01;171429.27;110898.74;39.2801;REGULAR
01/01/2025;MDP;MOCK-0101202501250006;CV. HARMONI PERKASA;HADI;315438.84;218646.3;96792.54;30.685;REGULAR
01/02/2025;MDP;MOCK-0102202502250012;CV. INDAH TEKNIK;SANTOSO;16297913.07;15036529.0;1261384.07;7.7395;REGULAR
01/02/2025;MDP;MOCK-0102202502250013;PT. CAHAYA NIAGA;SANTOSO;61063684.7;53904423.26;7159261.44;11.7243;REGULAR
01/02/2025;MDP;MOCK-0102202502250014;PT. AGUNG LOGISTIK;SANTOSO;84321621.95;76747804.95;7573817.0;8.9821;REGULAR
01/02/2025;MDP;MOCK-0102202502250015;PT. KARYA NIAGA;SANTOSO;14183778.4;13196414.78;987363.62;6.9612;REGULAR
01/02/2025;MDP;MOCK-0102202502250016;PT. AGUNG LOGISTIK;SANTOSO;46242070.65;40858334.12;5383736.53;11.6425;REGULAR
01/02/2025;MDP;MOCK-0102202502250017;PT. AGUNG LOGISTIK;SANTOSO;29774981.86;26077932.65;3697049.21;12.4166;REGULAR
