MONTH;JOBTYPE;JOBFILE;CUSTOMER;MKT;REVENUE;COST;PROFIT;MARGIN;NEWCUSTOMER
01/01/2025;EXPORT AF;MOCK-01012025000001;PT. SEJAHTERA BUANA;PRASETYO;948623.72;630686.55;317937.17;33.5156;REGULAR
01/01/2025;EXPORT AF;MOCK-01012025000002;PT. WIRA BANGUNAN;HADI;697530.66;463748.9;233781.76;33.5156;REGULAR
01/01/2025;EXPORT AF;MOCK-01012025000003;PT. SEJATI BERKAT;WIJAYA;28002175.01;24026046.47;3976128.54;14.1994;REGULAR
01/01/2025;EXPORT AF;MOCK-01012025000004;PT. WIRA TAMBANG;PRASETYO;24119297.74;20694512.76;3424784.98;14.1994;REGULAR
01/01/2025;EXPORT AF;MOCK-01012025000005;CV. MAJU SENTRAL;HADI;1002985.3;283608.74;719376.56;71.7235;REGULAR
01/01/2025;EXPORT AF;MOCK-01012025000006;PT. SEJATI KIMIA;BUDIMAN;707545.37;200068.79;507476.58;71.7235;REGULAR
01/01/2025;MDP;MOCK-01012025000007;PT. PRIMA PANGAN;KUSUMA;152931694.45;139356322.99;13575371.46;8.8768;REGULAR
01/01/2025;MDP;MOCK-01012025000008;CV. WIRA TEKNIK;HADI;67718598.74;61707384.81;6011213.93;8.8768;REGULAR
01/01/2025;MDP;MOCK-01012025000009;CV. WANA TEKSTIL;PRASETYO;22656907.87;20635025.52;2021882.35;8.9239;REGULAR
01/01/2025;MDP;MOCK-01012025000010;PT. SUKSES SAMUDRA;BUDIMAN;25492301.76;23217391.37;2274910.39;8.9239;REGULAR
01/01/2025;MDP;MOCK-01012025000011;PT. PURI BUANA;TEJAKUSUMA;21893857.73;19243578.48;2650279.25;12.1051;REGULAR
01/01/2025;MDP;MOCK-01012025000012;CV. BINTANG TEKSTIL;WULANDARI;13677959.64;12022225.27;1655734.37;12.1051;REGULAR
01/01/2025;MDP;MOCK-01012025000013;CV. BERSAMA SENTRAL;WIJAYA;75988348.0;71280004.04;4708343.96;6.1961;REGULAR
01/01/2025;MDP;MOCK-01012025000014;PT. GADING OTOMOTIF;KUSUMA;92086852.97;86381023.21;5705829.76;6.1961;REGULAR
01/01/2025;MDP;MOCK-01012025000015;PT. CAHAYA TRANSPORT;PRASETYO;130578960.97;120648986.95;9929974.02;7.6046;REGULAR
01/01/2025;MDP;MOCK-01012025000016;CV. ASRI BUANA;BUDIMAN;70236963.83;64895741.78;5341222.05;7.6046;REGULAR
01/01/2025;MDP;MOCK-01012025000017;CV. SEJATI DIRGANTARA;HADI;19132528.94;17530056.02;1602472.92;8.3756;REGULAR
01/01/2025;MDP;MOCK-01012025000018;CV. NUSANTARA KREASI;FERNANDO;10316347.36;9452286.61;864060.75;8.3756;REGULAR
01/01/2025;MDP;MOCK-01012025000019;CV. DAYA PERTANIAN;HADI;21584948.55;19307994.74;2276953.81;10.5488;REGULAR
01/01/2025;MDP;MOCK-01012025000020;PT. PERMATA DIRGANTARA;BUDIMAN;31445597.55;28128463.25;3317134.3;10.5488;REGULAR
01/01/2025;MDP;MOCK-01012025000021;PT. NUSANTARA SENTRAL;HADI;68204926.07;63006106.24;5198819.83;7.6224;REGULAR
01/01/2025;MDP;MOCK-01012025000022;CV. PURI EDUKASI;WIJAYA;46743635.87;43180671.21;3562964.66;7.6224;REGULAR
01/01/2025;MDP;MOCK-01012025000023;PT. SENTOSA KEUANGAN;KUSUMA;2446017.1;1272064.87;1173952.23;47.9944;REGULAR
01/01/2025;MDP;MOCK-01012025000024;CV. SENTOSA SAMUDRA;HADI;1269010.51;659956.01;609054.5;47.9944;REGULAR
01/01/2025;MDP;MOCK-01012025000025;PT. GLOBAL TELKOM;FERNANDO;15546741.54;13494678.35;2052063.19;13.1993;REGULAR
01/01/2025;MDP;MOCK-01012025000026;PT. BAHARI TELKOM;PRASETYO;10072152.38;8742697.39;1329454.99;13.1993;REGULAR
01/01/2025;EXPORT FCL;MOCK-01012025000027;PT. WIRA MEDIA;SANTOSO;36690777.43;33506398.85;3184378.58;8.679;REGULAR
01/01/2025;EXPORT FCL;MOCK-01012025000028;CV. SEJAHTERA TEKNIK;WULANDARI;46031782.01;42036701.2;3995080.81;8.679;REGULAR
01/01/2025;MDP;MOCK-01012025000029;CV. HARMONI TRANSPORT;PRASETYO;352740.58;214183.72;138556.86;39.2801;REGULAR
01/01/2025;MDP;MOCK-01012025000030;PT. CEMERLANG DIRGANTARA;BUDIMAN;378331.99;229722.79;148609.2;39.2801;REGULAR
01/01/2025;MDP;MOCK-01012025000031;PT. AGUNG MARITIM;WIJAYA;348471.29;305387.7;43083.59;12.3636;REGULAR
01/01/2025;MDP;MOCK-01012025000032;CV. SEJATI KEUANGAN;PRASETYO;635484.54;556915.78;78568.76;12.3636;REGULAR
01/01/2025;MDP;MOCK-01012025000033;CV. JAYA KESEHATAN;WIJAYA;3715097.42;2975248.52;739848.9;19.9147;REGULAR
01/01/2025;MDP;MOCK-01012025000034;PT. SUKSES PERKASA;WULANDARI;2034389.1;1629247.5;405141.6;19.9147;REGULAR
01/01/2025;MDP;MOCK-01012025000035;PT. DAYA BERKAT;SANTOSO;572858.59;348397.11;224461.48;39.1827;REGULAR
01/01/2025;MDP;MOCK-01012025000036;PT. SUKSES PERKASA;SANTOSO;1364077.51;829595.05;534482.46;39.1827;REGULAR
01/01/2025;MDP;MOCK-01012025000037;PT. PERMATA PERSADA;KUSUMA;330035.17;200397.01;129638.16;39.2801;REGULAR
01/01/2025;MDP;MOCK-01012025000038;PT. WIRA INDUSTRI;TEJAKUSUMA;209768.93;127371.47;82397.46;39.2801;REGULAR
01/01/2025;MDP;MOCK-01012025000039;CV. INDAH DAGANG;BUDIMAN;188295.16;130516.71;57778.45;30.685;REGULAR
01/01/2025;MDP;MOCK-01012025000040;CV. PRIMA PERTANIAN;HADI;305037.14;211436.37;93600.77;30.685;REGULAR
01/02/2025;MDP;MOCK-01022025000041;PT. MULIA TRANSPORT;HADI;20017318.3;18468069.24;1549249.06;7.7395;REGULAR
01/02/2025;MDP;MOCK-01022025000042;PT. HARMONI DAGANG;PRASETYO;16889295.13;15582140.79;1307154.34;7.7395;REGULAR
01/02/2025;MDP;MOCK-01022025000043;PT. SARI USAHA;KUSUMA;58781616.85;51889910.84;6891706.01;11.7243;REGULAR
01/02/2025;MDP;MOCK-01022025000044;PT. DELIMA FURNITURE;SANTOSO;70354212.54;62105706.02;8248506.52;11.7243;REGULAR
01/02/2025;MDP;MOCK-01022025000045;PT. CEMERLANG PERSADA;FERNANDO;76430303.52;69565289.32;6865014.2;8.9821;REGULAR
01/02/2025;MDP;MOCK-01022025000046;CV. SEJATI PROPERTI;SANTOSO;56043280.08;51009440.16;5033839.92;8.9821;REGULAR
01/02/2025;MDP;MOCK-01022025000047;PT. PURI KREASI;TEJAKUSUMA;11137801.05;10362474.53;775326.52;6.9612;REGULAR
01/02/2025;MDP;MOCK-01022025000048;CV. NUSANTARA DAGANG;KUSUMA;10179710.5;9471078.74;708631.76;6.9612;REGULAR
01/02/2025;MDP;MOCK-01022025000049;PT. DAYA KEUANGAN;SANTOSO;57708974.03;50990202.42;6718771.61;11.6425;REGULAR
